Source Target Weight
金青 红光 4
花一闪 碧瑶 4
涂抹 碧瑶 6
玉树临风 齐昊 8
玉树临风 苏茹 4
玉树临风 张小凡 8
玉树临风 田灵儿 12
道玄真人 小竹峰 31
道玄真人 才华 4
道玄真人 林惊羽 110
道玄真人 玄火鉴 4
道玄真人 静默 6
道玄真人 宋大仁 13
道玄真人 田师叔 6
道玄真人 普泓 161
道玄真人 明白 20
道玄真人 大黄 4
道玄真人 敬佩 5
道玄真人 神僧 8
道玄真人 双眉 6
道玄真人 苍生 26
道玄真人 老和尚 4
道玄真人 小凡 5
道玄真人 陆雪琪 100
道玄真人 巨擎 8
道玄真人 田灵儿 8
道玄真人 苍松 149
道玄真人 和蔼 11
道玄真人 空旷 6
道玄真人 沙石 8
道玄真人 师尊 6
道玄真人 严令 6
道玄真人 商正梁 17
道玄真人 阴冷 5
道玄真人 白云 4
道玄真人 敬仰 4
道玄真人 安静 16
道玄真人 玉清境 8
道玄真人 檀香 10
道玄真人 苍天 6
道玄真人 黑云 18
道玄真人 和尚 6
道玄真人 张小凡 176
道玄真人 太清境 11
道玄真人 徐徐 7
道玄真人 门师伯 5
道玄真人 金光 6
道玄真人 普智 12
道玄真人 玉清殿 96
道玄真人 慈祥 6
道玄真人 光辉 16
道玄真人 楚誉宏 4
道玄真人 张师弟 4
道玄真人 小村子 8
道玄真人 恩师 13
道玄真人 越战越勇 4
道玄真人 通灵术 6
道玄真人 兽神 80
道玄真人 鬼王 22
道玄真人 宁可 5
道玄真人 泰山北斗 4
道玄真人 冷冷道 11
道玄真人 李师兄 6
道玄真人 水月 138
道玄真人 古剑 20
道玄真人 常箭 5
道玄真人 李洵 55
道玄真人 道德 4
道玄真人 普空 8
道玄真人 龙峰 8
道玄真人 通晓 4
道玄真人 法善 6
道玄真人 高耸 4
道玄真人 殷红 8
道玄真人 田不易 259
道玄真人 云易岚 144
道玄真人 穆之 4
道玄真人 师兄 100
道玄真人 仰天 8
道玄真人 冷笑 25
道玄真人 凌空 20
道玄真人 凌厉攻势 4
道玄真人 雪琪 32
道玄真人 师傅 6
道玄真人 道玄 4
道玄真人 黑心老人 6
道玄真人 墨绿色 4
道玄真人 法相 17
道玄真人 师叔言 4
道玄真人 上官策 14
道玄真人 曾叔常 36
道玄真人 秀眉 4
道玄真人 门七脉 7
道玄真人 玉阳子 6
道玄真人 苏茹 15
道玄真人 凌厉 7
道玄真人 白光 25
道玄真人 碧瑶 4
道玄真人 齐昊 52
道玄真人 墨绿 19
道玄真人 文敏 5
道玄真人 仰天长啸 6
道玄真人 萧逸才 171
道玄真人 向前走 6
